,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,att_yaw,att_pitch,att_roll,labelrunning,labelexercising,labeljogging,labelsitting
2018-06-13 18:34:42.297164032,0.0048928,0.0030824000000000003,-0.0078518,0.0037000000000000006,-0.0006112000000000001,0.008223600000000001,30.652053999999996,4.8762998,-14.861199800000001,0.7328296000000001,0.044083199999999996,-0.678979,-0.3376518,-0.0440976,0.8235227999999999,0,0,0,1
2018-06-13 18:34:43.297164032,-0.0024632,-0.008429200000000001,0.0026048,0.0046628,-0.0011133999999999998,0.0098518,30.5412232,4.9209054000000005,-14.6788758,0.7337768,0.0443842,-0.6779366,-0.34046600000000005,-0.0443986,0.8249328000000001,0,0,0,1
2018-06-13 18:34:44.297164032,-0.0008678,-0.0031701999999999998,-0.0002458000000000001,0.003591000000000001,-0.002724,0.0101912,30.388336,4.8840736,-14.936041400000002,0.7304084,0.0442034,-0.6815780000000001,-0.3403938,-0.044217599999999996,0.8199671999999999,0,0,0,1
2018-06-13 18:34:45.297164032,-0.0012808,0.0016684,0.0005142,0.0041948,-0.0017422,0.009581200000000002,30.3629424,4.816294200000001,-14.843353400000002,0.7306564,0.0440546,-0.6813218000000001,-0.33930940000000004,-0.044069,0.8203242000000001,0,0,0,1
2018-06-13 18:34:46.297164032,-6.34e-05,-0.0003722,-0.0016810000000000002,0.004633600000000001,-0.0022535999999999997,0.0095232,30.369085600000002,4.932325,-14.9148438,0.7310751999999999,0.04414520000000001,-0.6808672,-0.33919099999999996,-0.0441594,0.8209426000000001,0,0,0,1
2018-06-13 18:34:47.297164032,0.0005493999999999999,-0.001372,-0.0008092,0.0041984,-0.0029288,0.0101086,30.616519,5.0167677999999984,-14.950726199999995,0.7306588,0.0444966,-0.681291,-0.33970019999999995,-0.044511600000000005,0.8203482,0,0,0,1
2018-06-13 18:34:48.297164032,-0.0005165999999999999,-0.001032,0.0017977999999999998,0.004518800000000001,-0.0034806000000000004,0.010045,30.62976679999999,5.0078414,-14.9650392,0.72888,0.0449846,-0.6831617999999999,-0.340974,-0.044999799999999986,0.817764,0,0,0,1
2018-06-13 18:34:49.297164032,5.7399999999999986e-05,0.0019618000000000005,0.0010865999999999998,0.004510800000000001,-0.002758,0.009275799999999999,30.630188,4.920539,-15.029187,0.7302519999999999,0.0447136,-0.6817126,-0.339386,-0.0447284,0.8197618,0,0,0,1
2018-06-13 18:34:50.297164032,-0.0013277999999999999,0.0034034,0.0004748000000000001,0.003699800000000001,-0.002935,0.0096526,30.72742,4.9409697999999995,-15.068829400000002,0.731603,0.044502999999999994,-0.6802766,-0.33915660000000003,-0.044518,0.8217351999999999,0,0,0,1
2018-06-13 18:34:51.297164032,0.0004410000000000001,-0.0016549999999999998,-0.0027766,0.0037318,-0.002843200000000001,0.0098126,30.618576,4.9773796,-15.1636168,0.7315280000000001,0.0448656,-0.6803326,-0.3403218,-0.044881,0.8216432000000001,0,0,0,1
2018-06-13 18:34:52.297164032,-0.001051,0.0004334000000000001,0.0018088000000000002,0.0042408,-0.002628,0.0090116,30.6578246,4.913529799999999,-15.097039800000001,0.7309736000000001,0.0447574,-0.6809356,-0.33985859999999996,-0.0447726,0.8208233999999999,0,0,0,1
2018-06-13 18:34:53.297164032,-0.0003152,-0.0006309999999999999,3.519999999999999e-05,0.004162399999999999,-0.0031554,0.0097294,30.571109000000003,4.856392600000001,-15.053930800000002,0.7309878000000001,0.0447602,-0.6809206,-0.3390696000000001,-0.044775199999999994,0.8208440000000001,0,0,0,1
2018-06-13 18:34:54.297164032,0.0009262000000000001,-0.0022528,-0.0007232,0.0055888000000000005,-0.0043606,0.0109988,30.5078156,4.920421599999999,-14.932647800000002,0.730938,0.044888,-0.6809662000000001,-0.3397548,-0.044903,0.8207761999999998,0,0,0,1
2018-06-13 18:34:55.297164032,-0.0006844000000000003,8.140000000000005e-05,0.00034059999999999977,0.004956800000000001,-0.0043708,0.009714400000000002,30.5861206,4.9754044,-15.0436096,0.7304162,0.045123800000000006,-0.6815100000000001,-0.3412926,-0.0451394,0.8200224,0,0,0,1
