,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,speed
1910,1.5289125317973857e+18,1,0,0,0,2.2445171960784314
1920,1.5289125319989573e+18,1,0,0,0,2.2478336535947716
1930,1.5289125322005292e+18,1,0,0,0,2.2511501111111114
1940,1.528912532402101e+18,1,0,0,0,2.254466568627451
1950,1.5289125326036728e+18,1,0,0,0,2.257783026143791
1960,1.528912532805245e+18,1,0,0,0,2.261099483660131
1970,1.5289125330068165e+18,1,0,0,0,2.2644159411764706
1980,1.5289125332083884e+18,1,0,0,0,2.267732398692811
1990,1.5289125334099602e+18,1,0,0,0,2.2710488562091506
2000,1.528912533611532e+18,1,0,0,0,2.2743653137254904
2010,1.528912533813104e+18,1,0,0,0,2.2776817712418302
2020,1.5289125340146757e+18,1,0,0,0,2.28099822875817
2030,1.5289125342162476e+18,1,0,0,0,2.28431468627451
2040,1.5289125344178194e+18,1,0,0,0,2.2876311437908496
2050,1.5289125346193912e+18,1,0,0,0,2.29094760130719
2060,1.528912534820963e+18,1,0,0,0,2.2942640588235297
2070,1.528912535022535e+18,1,0,0,0,2.2975805163398695
2080,1.5289125352241068e+18,1,0,0,0,2.3008969738562093
2090,1.5289125354256786e+18,1,0,0,0,2.304213431372549
2100,1.5289125356272504e+18,1,0,0,0,2.307529888888889
2110,1.5289125358288225e+18,1,0,0,0,2.3108463464052287
2120,1.528912536030394e+18,1,0,0,0,2.314162803921569
2130,1.528912536231966e+18,1,0,0,0,2.3174792614379087
2140,1.5289125364335378e+18,1,0,0,0,2.3207957189542485
2150,1.5289125366351096e+18,1,0,0,0,2.3241121764705883
2160,1.5289125368366817e+18,1,0,0,0,2.327428633986928
2170,1.5289125370382533e+18,1,0,0,0,2.3307450915032684
2180,1.5289125372398252e+18,1,0,0,0,2.334061549019608
2190,1.528912537441397e+18,1,0,0,0,2.337378006535948
2200,1.5289125376429688e+18,1,0,0,0,2.3406944640522878
2210,1.528912537844541e+18,1,0,0,0,2.3440109215686276
2220,1.5289125380461125e+18,1,0,0,0,2.3473273790849674
2230,1.5289125382476844e+18,1,0,0,0,2.350643836601307
2240,1.5289125384492562e+18,1,0,0,0,2.3539602941176474
2250,1.528912538650828e+18,1,0,0,0,2.357276751633987
2260,1.5289125388524e+18,1,0,0,0,2.360593209150327
2270,1.5289125390539717e+18,1,0,0,0,2.363909666666667
2280,1.5289125392555436e+18,1,0,0,0,2.3672261241830066
2290,1.5289125394571154e+18,1,0,0,0,2.3705425816993464
2300,1.5289125396586872e+18,1,0,0,0,2.373859039215686
2310,1.528912539860259e+18,1,0,0,0,2.3771754967320264
2320,1.528912540061831e+18,1,0,0,0,2.3804919542483662
2330,1.5289125402634028e+18,1,0,0,0,2.383808411764706
2340,1.5289125404649746e+18,1,0,0,0,2.387124869281046
2350,1.5289125406665464e+18,1,0,0,0,2.3904413267973856
2360,1.5289125408681185e+18,1,0,0,0,2.393757784313726
2370,1.52891254106969e+18,1,0,0,0,2.3970742418300657
2380,1.528912541271262e+18,1,0,0,0,2.4003906993464055
2390,1.5289125414728338e+18,1,0,0,0,2.4037071568627453
2400,1.5289125416744056e+18,1,0,0,0,2.407023614379085
2410,1.5289125418759777e+18,1,0,0,0,2.410340071895425
2420,1.5289125420775493e+18,1,0,0,0,2.4136565294117647
2430,1.5289125422791212e+18,1,0,0,0,2.416972986928105
2440,1.528912542480693e+18,1,0,0,0,2.4202894444444447
2450,1.5289125426822648e+18,1,0,0,0,2.4236059019607845
2460,1.528912542883837e+18,1,0,0,0,2.4269223594771243
2470,1.5289125430854085e+18,1,0,0,0,2.430238816993464
2480,1.5289125432869804e+18,1,0,0,0,2.433555274509804
2490,1.5289125434885522e+18,1,0,0,0,2.4368717320261437
2500,1.528912543690124e+18,1,0,0,0,2.440188189542484
2510,1.528912543891696e+18,1,0,0,0,2.4435046470588238
2520,1.5289125440932677e+18,1,0,0,0,2.4468211045751636
2530,1.5289125442948396e+18,1,0,0,0,2.4501375620915034
2540,1.5289125444964114e+18,1,0,0,0,2.453454019607843
2550,1.5289125446979832e+18,1,0,0,0,2.4567704771241834
2560,1.528912544899555e+18,1,0,0,0,2.460086934640523
2570,1.528912545101127e+18,1,0,0,0,2.463403392156863
2580,1.5289125453026988e+18,1,0,0,0,2.466719849673203
2590,1.5289125455042706e+18,1,0,0,0,2.4700363071895426
2600,1.5289125457058424e+18,1,0,0,0,2.4733527647058824
2610,1.5289125459074145e+18,1,0,0,0,2.476669222222222
2620,1.528912546108986e+18,1,0,0,0,2.4799856797385624
2630,1.528912546310558e+18,1,0,0,0,2.4833021372549022
2640,1.5289125465121298e+18,1,0,0,0,2.486618594771242
2650,1.5289125467137016e+18,1,0,0,0,2.489935052287582
2660,1.5289125469152737e+18,1,0,0,0,2.4932515098039216
2670,1.5289125471168453e+18,1,0,0,0,2.4965679673202614
2680,1.5289125473184172e+18,1,0,0,0,2.4998844248366012
2690,1.528912547519989e+18,1,0,0,0,2.5032008823529415
2700,1.5289125477215608e+18,1,0,0,0,2.5065173398692813
2710,1.528912547923133e+18,1,0,0,0,2.509833797385621
2720,1.5289125481247045e+18,1,0,0,0,2.513150254901961
2730,1.5289125483262764e+18,1,0,0,0,2.5164667124183007
2740,1.5289125485278482e+18,1,0,0,0,2.5197831699346405
2750,1.52891254872942e+18,1,0,0,0,2.5230996274509807
2760,1.528912548930992e+18,1,0,0,0,2.5264160849673205
2770,1.5289125491325637e+18,1,0,0,0,2.5297325424836603
2780,1.5289125493341356e+18,1,0,0,0,2.533049
2790,1.5289125495357074e+18,1,0,0,0,2.5543292
2800,1.5289125497372792e+18,1,0,0,0,2.5756094000000003
2810,1.528912549938851e+18,1,0,0,0,2.5968896
2820,1.528912550140423e+18,1,0,0,0,2.6181698
2830,1.5289125503419948e+18,1,0,0,0,2.63945
2840,1.5289125505435666e+18,1,0,0,0,2.637088842105263
2850,1.5289125507451384e+18,1,0,0,0,2.6347276842105263
2860,1.5289125509467105e+18,1,0,0,0,2.6323665263157894
2870,1.528912551148282e+18,1,0,0,0,2.630005368421053
2880,1.528912551349854e+18,1,0,0,0,2.627644210526316
2890,1.5289125515514258e+18,1,0,0,0,2.625283052631579
2900,1.5289125517529976e+18,1,0,0,0,2.6229218947368422
2910,1.5289125519545697e+18,1,0,0,0,2.6205607368421053
2920,1.5289125521561413e+18,1,0,0,0,2.6181995789473684
2930,1.5289125523577132e+18,1,0,0,0,2.6158384210526315
2940,1.528912552559285e+18,1,0,0,0,2.6134772631578946
2950,1.5289125527608568e+18,1,0,0,0,2.611116105263158
2960,1.528912552962429e+18,1,0,0,0,2.6087549473684213
2970,1.5289125531640005e+18,1,0,0,0,2.6063937894736844
2980,1.5289125533655724e+18,1,0,0,0,2.6040326315789475
2990,1.5289125535671442e+18,1,0,0,0,2.6016714736842106
3000,1.528912553768716e+18,1,0,0,0,2.5993103157894737
3010,1.528912553970288e+18,1,0,0,0,2.596949157894737
3020,1.5289125541718597e+18,1,0,0,0,2.594588
3030,1.5289125543734316e+18,1,0,0,0,2.5922268421052634
3040,1.5289125545750034e+18,1,0,0,0,2.5898656842105265
3050,1.5289125547765752e+18,1,0,0,0,2.5875045263157896
3060,1.528912554978147e+18,1,0,0,0,2.5851433684210527
3070,1.528912555179719e+18,1,0,0,0,2.582782210526316
3080,1.5289125553812908e+18,1,0,0,0,2.580421052631579
3090,1.5289125555828626e+18,1,0,0,0,2.578059894736842
3100,1.5289125557844344e+18,1,0,0,0,2.5756987368421056
3110,1.5289125559860065e+18,1,0,0,0,2.5733375789473687
3120,1.528912556187578e+18,1,0,0,0,2.570976421052632
3130,1.52891255638915e+18,1,0,0,0,2.568615263157895
3140,1.5289125565907218e+18,1,0,0,0,2.566254105263158
3150,1.5289125567922936e+18,1,0,0,0,2.563892947368421
3160,1.5289125569938657e+18,1,0,0,0,2.561531789473684
3170,1.5289125571954373e+18,1,0,0,0,2.5591706315789473
3180,1.5289125573970092e+18,1,0,0,0,2.556809473684211
3190,1.528912557598581e+18,1,0,0,0,2.554448315789474
