,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
1730,1.5289125281690924e+18,1,0,0,0,0.395453,0.8986620000000001,-0.189801
1740,1.5289125283706642e+18,1,0,0,0,0.20638800000000002,0.9481620000000001,-0.24164699999999997
1750,1.528912528572236e+18,1,0,0,0,0.1245,0.969252,0.21225
1760,1.528912528773808e+18,1,0,0,0,0.018000000000000002,0.9984620000000001,0.05243300000000002
1770,1.5289125289753797e+18,1,0,0,0,0.40455399999999997,0.9004040000000001,-0.160029
1780,1.5289125291769516e+18,1,0,0,0,0.14859,0.982894,-0.10881400000000001
1790,1.5289125293785234e+18,1,0,0,0,-0.031619,0.957757,0.285833
1800,1.5289125295800952e+18,1,0,0,0,1.9e-05,0.999769,0.021449
1810,1.528912529781667e+18,1,0,0,0,0.31607399999999997,0.935815,-0.15603599999999998
1820,1.528912529983239e+18,1,0,0,0,0.318884,0.945782,-0.061723
1830,1.5289125301848108e+18,1,0,0,0,-0.08053099999999999,0.947017,0.310924
1840,1.5289125303863826e+18,1,0,0,0,0.218282,0.975791,-0.013546
1850,1.5289125305879544e+18,1,0,0,0,0.229877,0.953917,-0.192868
1860,1.5289125307895265e+18,1,0,0,0,0.330613,0.9423299999999999,0.052052999999999995
1870,1.528912530991098e+18,1,0,0,0,-0.11202999999999999,0.961424,0.251222
1880,1.52891253119267e+18,1,0,0,0,0.377195,0.9261149999999999,0.00589
1890,1.5289125313942418e+18,1,0,0,0,0.148846,0.961774,-0.229861
1900,1.5289125315958136e+18,1,0,0,0,0.170877,0.9791479999999999,0.10986300000000004
1910,1.5289125317973857e+18,1,0,0,0,-0.155788,0.979353,0.128831
1920,1.5289125319989573e+18,1,0,0,0,0.414304,0.907328,-0.071457
1930,1.5289125322005292e+18,1,0,0,0,0.129091,0.971808,-0.19729100000000002
1940,1.528912532402101e+18,1,0,0,0,-0.0037719999999999997,0.970301,0.241869
1950,1.5289125326036728e+18,1,0,0,0,-0.11317100000000001,0.989418,0.090796
1960,1.528912532805245e+18,1,0,0,0,0.368343,0.91432,-0.168351
1970,1.5289125330068165e+18,1,0,0,0,0.264807,0.948098,-0.176031
1980,1.5289125332083884e+18,1,0,0,0,-0.03843,0.950902,0.307098
1990,1.5289125334099602e+18,1,0,0,0,0.187477,0.982072,0.01969
2000,1.528912533611532e+18,1,0,0,0,0.31838,0.936692,-0.14575
2010,1.528912533813104e+18,1,0,0,0,0.3528,0.924976,0.141248
2020,1.5289125340146757e+18,1,0,0,0,-0.142752,0.9440040000000001,0.297454
2030,1.5289125342162476e+18,1,0,0,0,0.26981,0.96134,0.055022
2040,1.5289125344178194e+18,1,0,0,0,0.17915999999999999,0.971411,-0.15576199999999998
2050,1.5289125346193912e+18,1,0,0,0,0.169181,0.9753950000000001,0.14135899999999998
2060,1.528912534820963e+18,1,0,0,0,-0.18974000000000002,0.968025,0.16409100000000001
2070,1.528912535022535e+18,1,0,0,0,0.408346,0.910653,-0.062973
2080,1.5289125352241068e+18,1,0,0,0,0.126687,0.976045,-0.176878
2090,1.5289125354256786e+18,1,0,0,0,0.050178,0.970968,0.23388699999999998
2100,1.5289125356272504e+18,1,0,0,0,-0.088024,0.9926389999999999,0.083177
2110,1.5289125358288225e+18,1,0,0,0,0.375448,0.906573,-0.192779
2120,1.528912536030394e+18,1,0,0,0,0.303726,0.9482370000000001,-0.09271499999999999
2130,1.528912536231966e+18,1,0,0,0,-0.005531,0.960823,0.277106
2140,1.5289125364335378e+18,1,0,0,0,-0.023145,0.997812,-0.061935000000000004
2150,1.5289125366351096e+18,1,0,0,0,0.225669,0.950722,-0.212608
2160,1.5289125368366817e+18,1,0,0,0,0.39524899999999996,0.9157770000000001,0.071634
2170,1.5289125370382533e+18,1,0,0,0,-0.131937,0.9525819999999999,0.27418899999999996
2180,1.5289125372398252e+18,1,0,0,0,0.233093,0.97115,0.050343
2190,1.528912537441397e+18,1,0,0,0,0.21901700000000002,0.957471,-0.187832
2200,1.5289125376429688e+18,1,0,0,0,0.20549,0.9664280000000001,0.15424300000000002
2210,1.528912537844541e+18,1,0,0,0,-0.167131,0.9778,0.126389
2220,1.5289125380461125e+18,1,0,0,0,0.373449,0.918947,-0.126774
2230,1.5289125382476844e+18,1,0,0,0,0.17917,0.9587870000000001,-0.22051199999999999
2240,1.5289125384492562e+18,1,0,0,0,0.06056,0.966038,0.251205
2250,1.528912538650828e+18,1,0,0,0,-0.097536,0.991979,0.080407
2260,1.5289125388524e+18,1,0,0,0,0.342356,0.92519,-0.16375599999999998
2270,1.5289125390539717e+18,1,0,0,0,0.23614200000000002,0.9699780000000001,-0.058127
2280,1.5289125392555436e+18,1,0,0,0,-0.078677,0.948667,0.30633299999999997
2290,1.5289125394571154e+18,1,0,0,0,0.076775,0.9962409999999999,-0.040096
2300,1.5289125396586872e+18,1,0,0,0,0.277047,0.947378,-0.160375
2310,1.528912539860259e+18,1,0,0,0,0.27807600000000005,0.960058,0.031023000000000002
2320,1.528912540061831e+18,1,0,0,0,-0.19396300000000002,0.95276,0.23372300000000001
2330,1.5289125402634028e+18,1,0,0,0,0.322781,0.9461459999999999,0.024906
