,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
34750,1.528913193759308e+18,1,0,0,0,-0.125067,-0.47108900000000004,0.764063
34760,1.52891319396088e+18,1,0,0,0,-2.545943,-4.220062,-3.692387
34770,1.5289131941624517e+18,1,0,0,0,1.075403,-0.043515,0.79964
34780,1.5289131943640236e+18,1,0,0,0,0.5995010000000001,-1.9696240000000005,-0.6653399999999999
34790,1.5289131945655954e+18,1,0,0,0,-1.1234520000000001,6.750462,1.972908
34800,1.5289131947671672e+18,1,0,0,0,-0.524207,2.1724099999999997,-1.6008639999999998
34810,1.528913194968739e+18,1,0,0,0,1.316524,2.9260029999999997,5.157451999999998
34820,1.528913195170311e+18,1,0,0,0,-0.39721100000000004,-0.520405,-1.217849
34830,1.5289131953718828e+18,1,0,0,0,-1.9993130000000001,-0.659371,-2.908874
34840,1.5289131955734546e+18,1,0,0,0,1.560548,1.0025030000000001,0.034489
34850,1.5289131957750264e+18,1,0,0,0,0.274256,-3.885819,1.081402
34860,1.5289131959765985e+18,1,0,0,0,-0.06676599999999999,0.60675,-0.358225
34870,1.52891319617817e+18,1,0,0,0,-4.062942,-3.5724669999999996,-3.497992
34880,1.528913196379742e+18,1,0,0,0,1.96145,0.118498,1.031331
34890,1.5289131965813138e+18,1,0,0,0,0.8301799999999999,-3.16971,-0.57615
34900,1.5289131967828856e+18,1,0,0,0,0.138185,6.288606,0.796974
34910,1.5289131969844577e+18,1,0,0,0,-1.7664529999999998,2.3144400000000003,-1.8576279999999998
34920,1.5289131971860293e+18,1,0,0,0,1.053977,1.736879,4.481572
34930,1.5289131973876012e+18,1,0,0,0,0.38519899999999996,-1.564711,-0.881368
34940,1.528913197589173e+18,1,0,0,0,-1.896477,-0.11284300000000001,-1.857217
34950,1.5289131977907448e+18,1,0,0,0,0.9431450000000001,-0.39510100000000004,-0.900164
34960,1.528913197992317e+18,1,0,0,0,-0.909603,2.204414,3.827724
34970,1.5289131981938885e+18,1,0,0,0,1.0363209999999998,-2.361344,-0.057191999999999986
34980,1.5289131983954604e+18,1,0,0,0,-2.5705720000000003,-2.690019,-2.191637
34990,1.5289131985970322e+18,1,0,0,0,1.3791309999999999,1.164246,0.839248
35000,1.528913198798604e+18,1,0,0,0,0.478854,-1.129031,-0.269579
35010,1.528913199000176e+18,1,0,0,0,-0.908546,2.05872,0.377064
35020,1.5289131992017477e+18,1,0,0,0,-2.49773,5.417008,-2.971777
35030,1.5289131994033196e+18,1,0,0,0,1.42145,1.252285,3.207364
35040,1.5289131996048914e+18,1,0,0,0,-0.49274799999999996,0.405512,-0.6341640000000001
35050,1.5289131998064632e+18,1,0,0,0,-2.0430189999999997,2.3569299999999997,-0.179612
35060,1.528913200008035e+18,1,0,0,0,0.537812,-0.785679,-0.783129
35070,1.528913200209607e+18,1,0,0,0,0.066816,2.436343,2.522075
35080,1.5289132004111788e+18,1,0,0,0,-0.478401,1.514434,-0.743308
35090,1.5289132006127506e+18,1,0,0,0,-2.791934,-1.552433,-2.676899
35100,1.5289132008143224e+18,1,0,0,0,1.9540520000000001,1.34018,0.7566510000000001
35110,1.5289132010158945e+18,1,0,0,0,1.790498,-4.031811,0.326379
35120,1.528913201217466e+18,1,0,0,0,-0.314371,7.0056850000000015,2.4254990000000003
35130,1.528913201419038e+18,1,0,0,0,-0.510054,1.8059919999999998,-1.95415
35140,1.5289132016206098e+18,1,0,0,0,-0.880971,6.173329,7.978978
35150,1.5289132018221816e+18,1,0,0,0,0.703367,-4.364317,-0.881368
35160,1.5289132020237537e+18,1,0,0,0,-0.37298400000000004,0.05982000000000001,-4.433746
35170,1.5289132022253253e+18,1,0,0,0,1.510951,1.413663,-0.583838
35180,1.5289132024268972e+18,1,0,0,0,-0.622966,-4.040973999999999,0.35218
35190,1.528913202628469e+18,1,0,0,0,0.002956,1.71773,0.4359520000000001
35200,1.5289132028300408e+18,1,0,0,0,-1.334078,-1.931059,-3.0838919999999996
35210,1.528913203031613e+18,1,0,0,0,1.45121,0.371923,0.225625
35220,1.5289132032331845e+18,1,0,0,0,0.652613,-1.3994010000000001,-0.697426
35230,1.5289132034347564e+18,1,0,0,0,-0.7500439999999999,2.3734490000000004,1.945595
35240,1.5289132036363282e+18,1,0,0,0,0.10568399999999999,2.908793,-1.285274
35250,1.5289132038379e+18,1,0,0,0,-1.069914,4.491572,6.017835
35260,1.528913204039472e+18,1,0,0,0,-0.23561500000000002,-1.4198629999999999,-1.638081
35270,1.5289132042410437e+18,1,0,0,0,-1.800144,0.434803,-2.057936
35280,1.5289132044426156e+18,1,0,0,0,0.540525,-0.363089,-0.23551
35290,1.5289132046441874e+18,1,0,0,0,0.32199099999999997,-2.9699,1.050296
35300,1.5289132048457592e+18,1,0,0,0,0.389443,1.506483,0.6671020000000001
35310,1.528913205047331e+18,1,0,0,0,-2.621411,-1.8071119999999998,-2.812211
35320,1.528913205248903e+18,1,0,0,0,1.363694,-0.154831,-0.057290999999999995
35330,1.5289132054504748e+18,1,0,0,0,0.4949810000000001,-1.605484,-0.586533
35340,1.5289132056520466e+18,1,0,0,0,-1.005141,2.230517,1.822532
