,timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix).1,User Mark,timestamp
148,1528282415.634006,-0.079221,0.522839,3.0247,0.12082899999999999,-0.49658500000000005,-0.625108,-0.068565,-0.499342,-0.8636879999999999,0.014397,0.030424,0.018809,-16.420288,-16.36071,-18.000916,,,,,,,,1528282415.634006
149,1528282415.6541631,-0.077346,0.525215,3.008697,0.032733,-0.246862,-0.690408,-0.066854,-0.5013989999999999,-0.8626290000000001,-0.001307,-0.003102,-0.0025440000000000003,-16.278488,-16.679787,-17.906769,,,,,,,,1528282415.6541631
150,1528282415.67432,-0.07233300000000001,0.5260239999999999,2.9920009999999997,-0.040149000000000004,-0.15549000000000002,-0.7342989999999999,-0.0625,-0.502099,-0.862549,-0.0094,-0.019706,-0.013168000000000001,-16.115082,-16.944328,-18.037964000000002,,,,,,,,1528282415.67432
151,1528282415.694478,-0.065606,0.525981,2.971851,-0.050658,-0.214898,-0.919004,-0.056698,-0.502062,-0.8629709999999999,0.007106,0.012026,-0.047215,-15.990189,-17.346624,-17.990631,,,,,,,,1528282415.694478
152,1528282415.714634,-0.06277200000000001,0.527455,2.950214,0.070306,-0.554629,-0.9080940000000001,-0.054204999999999996,-0.503336,-0.862389,0.097189,-0.015569999999999999,-0.091133,-15.769957999999999,-17.773018,-17.879974,,,,,,,,1528282415.714634
153,1528282415.734792,-0.069816,0.531917,2.931434,0.22516799999999998,-0.94129,-0.74339,-0.060121,-0.5071869999999999,-0.8597370000000001,0.126771,-0.018890999999999998,-0.091527,-15.476166000000001,-17.996696,-17.32196,,,,,,,,1528282415.734792
154,1528282415.754949,-0.082504,0.537961,2.916702,0.252763,-0.985949,-0.617354,-0.07077,-0.512386,-0.855834,0.033554,0.027675,-0.077683,-15.936081,-18.581083,-17.250458,,,,,,,,1528282415.754949
155,1528282415.775105,-0.091442,0.543447,2.902701,0.202042,-0.666291,-0.629242,-0.078159,-0.5170899999999999,-0.852355,-0.033322000000000004,-0.003357,-0.073075,-15.857117,-18.837201999999998,-16.703705,,,,,,,,1528282415.775105
156,1528282415.795264,-0.092665,0.546657,2.88692,0.031075,-0.40622800000000003,-0.698915,-0.07904800000000001,-0.519834,-0.8506020000000001,-0.028588,-0.035891,-0.077712,-15.753281,-18.988884,-16.577667,,,,,,,,1528282415.795264
157,1528282415.815421,-0.092088,0.545585,2.869196,-0.204652,-0.488015,-0.754707,-0.078608,-0.5189189999999999,-0.851202,-0.022985,-0.047915,-0.111002,-15.973938,-18.920113,-16.452423,,,,,,,,1528282415.815421
