,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,yaw,pitch,roll
1820,1.528912529983239e+18,1,0,0,0,0.189208,-1.2399930000000001,1.379601
1830,1.5289125301848108e+18,1,0,0,0,2.2223450000000002,-1.243817,-2.888157
1840,1.5289125303863826e+18,1,0,0,0,0.177047,-1.350309,1.508818
1850,1.5289125305879544e+18,1,0,0,0,-0.219428,-1.266031,0.8727219999999999
1860,1.5289125307895265e+18,1,0,0,0,0.50383,-1.229525,1.726957
1870,1.528912530991098e+18,1,0,0,0,2.392227,-1.292133,-2.722121
1880,1.52891253119267e+18,1,0,0,0,0.194529,-1.18398,1.58641
1890,1.5289125313942418e+18,1,0,0,0,-0.307575,-1.293407,0.57465
1900,1.5289125315958136e+18,1,0,0,0,1.095443,-1.3662219999999998,2.142188
1910,1.5289125317973857e+18,1,0,0,0,2.778324,-1.367234,-2.261763
1920,1.5289125319989573e+18,1,0,0,0,0.20186300000000001,-1.1368850000000001,1.400002
1930,1.5289125322005292e+18,1,0,0,0,-0.329264,-1.332784,0.579404
1940,1.528912532402101e+18,1,0,0,0,2.099642,-1.326474,-3.125997
1950,1.5289125326036728e+18,1,0,0,0,2.850963,-1.42519,-2.246934
1960,1.528912532805245e+18,1,0,0,0,0.061577,-1.153825,1.142096
1970,1.5289125330068165e+18,1,0,0,0,-0.038991000000000005,-1.2472,0.9841190000000001
1980,1.5289125332083884e+18,1,0,0,0,2.140083,-1.2561360000000001,-3.017101
1990,1.5289125334099602e+18,1,0,0,0,0.48605600000000004,-1.381154,1.675439
2000,1.528912533611532e+18,1,0,0,0,0.037569,-1.21306,1.141486
2010,1.528912533813104e+18,1,0,0,0,0.774692,-1.180974,1.951616
2020,1.5289125340146757e+18,1,0,0,0,2.382724,-1.234561,-2.6941439999999997
2030,1.5289125342162476e+18,1,0,0,0,0.274029,-1.2918290000000001,1.7719650000000002
2040,1.5289125344178194e+18,1,0,0,0,-0.235566,-1.3311030000000001,0.8551469999999999
2050,1.5289125346193912e+18,1,0,0,0,1.038907,-1.348506,2.26684
2060,1.528912534820963e+18,1,0,0,0,2.710962,-1.317233,-2.28383
2070,1.528912535022535e+18,1,0,0,0,0.127006,-1.1448610000000001,1.4177870000000001
2080,1.5289125352241068e+18,1,0,0,0,-0.336422,-1.351475,0.6215430000000001
2090,1.5289125354256786e+18,1,0,0,0,1.7896029999999998,-1.329245,2.930257
2100,1.5289125356272504e+18,1,0,0,0,2.722739,-1.44939,-2.32789
2110,1.5289125358288225e+18,1,0,0,0,-0.023661,-1.135092,1.096435
2120,1.528912536030394e+18,1,0,0,0,0.08694099999999999,-1.247639,1.2745229999999999
2130,1.528912536231966e+18,1,0,0,0,1.9920849999999999,-1.289958,-3.121635
2140,1.5289125364335378e+18,1,0,0,0,-1.746119,-1.50463,-0.357625
2150,1.5289125366351096e+18,1,0,0,0,-0.397276,-1.255555,0.81519
2160,1.5289125368366817e+18,1,0,0,0,0.57675,-1.157437,1.750087
2170,1.5289125370382533e+18,1,0,0,0,2.430056,-1.2616129999999999,-2.693106
2180,1.5289125372398252e+18,1,0,0,0,0.298738,-1.330008,1.783507
2190,1.528912537441397e+18,1,0,0,0,-0.097727,-1.2781049999999998,0.8619
2200,1.5289125376429688e+18,1,0,0,0,1.269016,-1.310942,2.214688
2210,1.528912537844541e+18,1,0,0,0,2.8241240000000003,-1.359692,-2.21827
2220,1.5289125380461125e+18,1,0,0,0,-0.001228,-1.165403,1.243535
2230,1.5289125382476844e+18,1,0,0,0,-0.160313,-1.282702,0.682326
2240,1.5289125384492562e+18,1,0,0,0,1.713913,-1.3094290000000002,2.905027
2250,1.528912538650828e+18,1,0,0,0,2.772084,-1.444051,-2.260231
2260,1.5289125388524e+18,1,0,0,0,-0.06981,-1.181535,1.124643
2270,1.5289125390539717e+18,1,0,0,0,0.231737,-1.325142,1.329442
2280,1.5289125392555436e+18,1,0,0,0,2.254413,-1.248996,-2.890192
2290,1.5289125394571154e+18,1,0,0,0,-0.22218400000000002,-1.484067,1.089503
2300,1.5289125396586872e+18,1,0,0,0,-0.147424,-1.2449430000000001,1.046057
2310,1.528912539860259e+18,1,0,0,0,0.45607600000000004,-1.287209,1.6818990000000005
